date,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2018-10-28,0,70.38461377356053,0,0,0,13.973247096710626,0,0,257.35812934373996,0,696.8646899024534,10.971971676372108,0,0,0,0,15.812655832803294,0,0,0,0,158.2737383874206,0,357.1063832489216,0,0,0,0
2018-11-04,0,360.0268703919919,0,0,0,7.892031253386415,0,0,313.1124256992846,0,568.7384903259398,11.516813242755514,0,0,0,0,11.343077890350614,0,0,0,0,36.80119291012248,0,424.4798902313617,0,0,0,0
2018-11-11,0,139.32909515020472,0,0,0,0,0,0,340.37320582857916,0,520.8750869826669,7.384676163417506,0,0,0,0,14.776466714708352,0,0,0,0,0,0,498.0077674161432,0,0,0,0
2018-11-18,0,73.51745038191217,0,0,0,0,0,0,236.53373199625736,0,317.9805050656635,7.36916557602155,0,0,0,0,0,0,0,0,0,0,0,445.5894397183123,0,0,0,0
2018-11-25,0,0,0,0,0,0,0,0,224.6844200127496,0,278.3035289394085,6.321481161306164,0,0,0,0,59.20735408639211,0,0,0,0,0,0,216.62165776290985,0,0,0,0
2018-12-02,0,74.51222240207834,0,0,0,0,0,0,190.95993433897232,0,232.74405445253225,0,0,0,0,0,0,0,0,0,0,0,0,254.6750617792953,0,0,0,0
2018-12-09,0,0,0,0,0,0,0,0,117.08645558195327,0,168.5183734956835,9.260551466197908,0,0,0,0,0,0,0,0,0,0,0,220.5525267862418,0,0,0,0
2018-12-16,0,0,0,0,0,0,0,0,74.05303140022733,0,133.95422830222446,0,0,0,0,0,0,0,0,0,0,0,0,128.49178130740592,0,0,0,0
2018-12-23,0,0,0,0,0,0,0,0,141.93907875470012,0,208.70225640108953,0,0,0,0,0,0,0,0,0,0,0,0,633.0909908428237,0,0,0,0
2018-12-30,0,0,0,0,0,0,0,0,129.4889245398137,0,168.03329068352622,0,0,0,0,0,0,0,0,0,0,0,0,678.114985922783,0,0,0,0
2019-01-06,0,0,0,0,0,0,0,0,102.90264635040148,0,128.2518152780898,0,0,0,0,0,0,0,0,0,0,0,0,629.7159253701095,0,0,0,0
2019-01-13,0,0,0,0,0,0,0,0,105.06545008298684,0,129.88182608395928,0,0,0,0,0,0,0,0,0,0,0,0,276.361131325699,0,0,0,0
2019-01-20,0,0,0,0,0,0,0,0,83.40336432187563,0,113.60803057112588,8.079528778531948,0,0,0,0,0,0,0,0,0,0,0,269.54486941833,0,0,0,0
2019-01-27,0,0,0,0,0,0,0,0,115.70105570992992,0,148.4530982192093,0,0,0,0,0,0,0,0,0,0,0,0,217.57686010183855,0,0,0,0
2019-02-03,0,0,0,0,0,0,0,0,86.39063541950912,0,170.7191330701356,9.237995076744204,0,0,0,0,0,0,0,0,0,0,0,308.2153512954496,0,0,0,0
2019-02-10,0,0,0,0,0,0,0,0,112.9993074388197,0,292.4402790876864,6.631464987807117,0,0,0,0,0,0,0,0,0,0,0,202.3769606101251,0,0,0,0
